file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,corpus,-45.813518619122874,-45.87520063393432,3.89793929196005,8.171336574209546
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-43.78797743055556,-53.55136959369366,3.8881896422186926,11.443148868500742
F2BJRLP3,0.0,30.7068125,corpus,-46.00269150928037,-46.89133337180248,3.716452463819298,10.329792916197029
F2BJRLP2,0.0,28.6474375,corpus,-45.43601657940663,-45.73260936796112,3.6099060479595213,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-43.25733013014528,-52.34267337505634,2.7237218302666903,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.823201916881445,-50.95542017618815,2.5633459565624697,12.358243745435463
